University,State,City,Admission Rate (%),Average SAT,Student Size,In-State Tuition ($),Out-of-State Tuition ($),Median Earnings 10yr ($),Completion Rate (%),Median Debt ($),Nobel Prizes,March Madness 2026
DePaul University,IL,Chicago,75.9,1262,14090,45999,45999,68751,68.9,23168,0,No
Kean University,NJ,Union,75.9,1040,11433,14299,22446,57237,45.0,23250,0,No
Pace University,NY,New York,75.9,1266,7665,53290,53290,70378,60.7,23250,0,No
Tennessee Technological University,TN,Cookeville,76.1,1151,8698,11376,15576,48501,56.0,15650,0,No
Indiana University-Indianapolis,IN,Indianapolis,76.4,1139,13830,10762,34891,55198,54.1,20000,0,No
University of California-Riverside,CA,Riverside,76.4,,22593,15606,49806,67699,76.3,17500,43,Yes
University of Oklahoma-Norman Campus,OK,Norman,76.6,1246,22734,9797,27377,63126,75.3,20654,0,No
The University of Alabama,AL,Tuscaloosa,76.6,1285,33227,12180,34172,59221,73.5,22750,0,Yes
University of North Dakota,ND,Grand Forks,76.9,,9981,10951,15570,63552,62.0,22057,0,No
Oregon State University,OR,Corvallis,77.3,1290,30743,14400,38190,64010,70.4,21221,0,No
University of Illinois Chicago,IL,Chicago,77.3,1250,22170,14338,29884,68740,61.0,16704,0,No
Eastern Kentucky University,KY,Richmond,77.6,1149,12318,10320,21230,45795,49.9,22500,0,No
Mississippi State University,MS,Mississippi State,77.6,1219,18397,10202,27637,51513,64.8,22142,0,No
Rowan University,NJ,Glassboro,77.7,1212,15841,16574,26932,59988,67.8,20500,0,No
Jacksonville State University,AL,Jacksonville,77.7,1059,7036,12894,23334,45235,52.9,22189,0,No
